This file was created using the 202002 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Developed.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
199808 ,-13.22 ,-13.47 ,-17.74 ,-11.30 ,-13.63 ,-15.62
199809   ,0.07   ,0.75   ,1.09   ,3.69   ,2.04  ,-0.59
199810   ,6.38   ,6.52   ,5.01   ,7.66   ,9.20   ,9.21
199811   ,4.64   ,4.49   ,5.33   ,4.68   ,4.85   ,6.94
199812   ,1.80   ,2.42   ,3.70   ,3.21   ,5.86   ,5.39
199901   ,0.79  ,-0.19   ,2.77  ,-0.15   ,1.95   ,4.87
199902  ,-2.67  ,-3.99  ,-4.01  ,-1.71  ,-2.32  ,-4.89
199903   ,3.90   ,1.90   ,4.08   ,4.06   ,2.85   ,5.65
199904   ,8.52   ,7.22   ,7.91   ,4.93   ,4.45   ,3.82
199905   ,0.09   ,0.74  ,-0.62  ,-2.11  ,-2.75  ,-4.38
199906   ,6.38   ,7.00   ,9.10   ,2.12   ,5.58   ,6.45
199907   ,2.80   ,1.85   ,1.45   ,0.46  ,-1.13   ,0.46
199908   ,0.53   ,0.32   ,1.40  ,-1.34   ,1.12   ,0.74
199909   ,1.04   ,0.63   ,1.45  ,-1.38  ,-1.77   ,2.50
199910  ,-0.06  ,-1.54   ,0.99   ,3.63   ,5.51   ,6.49
199911   ,2.03   ,1.52   ,6.63   ,1.26   ,1.59   ,9.55
199912   ,4.57   ,3.64   ,8.43   ,4.53   ,5.45  ,13.56
200001   ,0.62  ,-2.00   ,0.68  ,-4.79  ,-5.45  ,-6.08
200002  ,10.42   ,5.51  ,13.13  ,-0.93   ,0.21   ,5.81
200003  ,-3.14   ,0.08  ,-3.67   ,8.32   ,6.60   ,4.21
200004  ,-8.43  ,-4.97 ,-12.19  ,-3.95  ,-1.68  ,-9.10
200005  ,-2.18  ,-0.21  ,-4.03  ,-0.86  ,-0.01  ,-7.50
200006   ,9.99   ,6.32   ,7.36   ,1.53   ,1.81   ,6.39
200007  ,-3.26  ,-2.22  ,-5.36  ,-2.64  ,-2.24  ,-3.75
200008   ,5.03   ,4.14   ,3.37   ,4.55   ,4.26   ,5.59
200009  ,-3.26  ,-1.97  ,-6.65  ,-2.79  ,-2.75  ,-8.96
200010  ,-5.66  ,-4.22 ,-10.75  ,-0.65  ,-1.45  ,-5.44
200011  ,-2.96  ,-2.99 ,-12.42  ,-3.24  ,-5.15 ,-12.89
200012   ,4.11   ,5.56   ,1.77   ,4.15   ,3.56  ,-3.66
200101   ,3.17   ,2.80   ,6.39   ,1.48   ,0.49   ,5.89
200102  ,-1.83  ,-2.09  ,-8.10  ,-3.82  ,-7.91 ,-14.95
200103  ,-5.13  ,-5.04  ,-9.97  ,-5.51  ,-7.07  ,-9.99
200104   ,7.25   ,6.96   ,7.53   ,7.02   ,6.78  ,11.99
200105   ,2.17   ,1.79   ,1.56   ,0.32  ,-0.95  ,-2.72
200106   ,0.29   ,1.30  ,-2.27  ,-2.67  ,-2.55  ,-3.23
200107  ,-2.71  ,-1.96  ,-8.18  ,-1.41  ,-0.49  ,-4.44
200108   ,0.82  ,-0.60  ,-4.19  ,-1.64  ,-2.99  ,-8.68
200109 ,-12.05 ,-12.00 ,-16.98  ,-8.42  ,-8.77 ,-11.08
200110   ,3.33   ,3.55   ,8.57   ,1.22   ,1.23   ,6.04
200111   ,3.59   ,4.33   ,6.72   ,4.16   ,5.89   ,7.67
200112   ,0.82   ,2.14   ,1.17   ,1.83   ,1.15  ,-0.45
200201  ,-0.23  ,-0.35  ,-3.49  ,-1.90  ,-2.54  ,-4.65
200202   ,1.87   ,1.39  ,-3.53   ,1.79  ,-0.35  ,-3.31
200203   ,6.26   ,5.99   ,6.46   ,4.65   ,4.29   ,5.34
200204   ,3.71   ,4.12  ,-0.81  ,-0.90  ,-1.95  ,-5.98
200205   ,2.69   ,1.69  ,-0.50   ,1.35   ,0.80  ,-1.05
