This file was created using the 202002 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Emerging_Markets.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
200110   ,3.52   ,4.83   ,5.74   ,2.84   ,4.51   ,8.46
200111   ,6.95   ,8.11   ,7.31   ,7.86   ,9.19  ,13.22
200112   ,5.46   ,6.59   ,6.79   ,7.54   ,7.38  ,10.30
200201   ,5.90   ,6.99   ,3.66   ,4.09   ,4.40   ,1.58
200202  ,-0.90   ,0.68  ,-0.98   ,0.67   ,3.54   ,0.07
200203   ,8.52   ,8.79   ,7.35   ,3.96   ,5.85   ,8.40
200204   ,4.52   ,1.89   ,0.86   ,0.98  ,-0.26  ,-0.70
200205  ,-0.61  ,-0.90  ,-0.98  ,-2.18  ,-1.50  ,-2.37
200206  ,-7.32  ,-6.09  ,-8.59  ,-6.00  ,-7.74  ,-8.34
200207  ,-4.83  ,-3.71  ,-4.72  ,-8.89  ,-5.66  ,-6.56
200208  ,-1.47   ,0.21   ,1.05   ,0.71   ,1.39   ,2.21
200209 ,-11.55 ,-10.86 ,-14.00 ,-10.88 ,-11.17  ,-9.28
200210   ,4.72   ,4.38   ,5.68   ,6.07   ,7.66   ,4.70
200211   ,5.64   ,4.89   ,4.94   ,7.20   ,5.87   ,5.85
200212  ,-1.75  ,-0.93  ,-2.92  ,-2.53  ,-2.75  ,-2.91
200301   ,5.27   ,2.09   ,0.48   ,0.18  ,-0.71  ,-1.13
200302  ,-2.62  ,-2.46  ,-1.93  ,-2.22  ,-2.61  ,-2.40
200303  ,-2.97  ,-3.80  ,-5.52  ,-2.71  ,-2.17  ,-3.57
200304   ,6.50   ,7.64   ,9.15   ,8.97  ,10.57   ,7.79
200305   ,8.91   ,7.99   ,6.22   ,7.82   ,6.54   ,7.83
200306   ,6.92   ,5.98   ,6.29   ,5.43   ,4.90   ,7.87
200307   ,4.30   ,4.51   ,4.99   ,4.35   ,4.00   ,7.64
200308   ,4.70   ,4.44   ,3.94   ,7.04   ,6.93   ,6.56
200309   ,3.19   ,2.88   ,2.66   ,2.28   ,1.73   ,0.55
200310   ,7.04   ,5.15   ,3.76   ,7.37   ,6.95   ,8.90
200311   ,2.19   ,2.36   ,2.74   ,1.35   ,1.22   ,0.95
200312   ,6.53   ,8.34   ,4.32   ,8.66   ,7.85   ,6.30
200401   ,5.52   ,2.87   ,4.24   ,2.80   ,2.18   ,5.52
200402   ,6.04   ,3.53   ,3.92   ,3.75   ,5.03   ,5.15
200403   ,1.50   ,0.89   ,1.46   ,1.28   ,0.47   ,2.80
200404  ,-4.14  ,-3.88  ,-4.34  ,-8.43  ,-7.46  ,-6.85
200405  ,-2.46  ,-4.60  ,-3.92  ,-2.09  ,-2.78  ,-2.74
200406  ,-3.21   ,0.18  ,-1.57   ,0.35   ,1.39   ,0.56
200407  ,-1.71  ,-0.95  ,-3.53  ,-0.93  ,-1.74  ,-2.22
200408   ,2.68   ,4.91   ,3.58   ,4.56   ,4.23   ,4.22
200409   ,5.77   ,7.50   ,4.74   ,5.62   ,5.97   ,6.17
200410   ,2.53   ,2.30   ,2.91   ,3.09   ,2.42   ,2.74
200411   ,9.11   ,8.74  ,10.52   ,8.34   ,9.05   ,8.09
200412   ,7.12   ,6.62   ,6.37   ,6.06   ,4.79   ,5.44
200501   ,3.85   ,3.66   ,4.83   ,0.50   ,0.68   ,0.06
200502   ,8.34   ,9.49   ,7.93   ,7.59   ,8.45   ,9.46
200503  ,-5.07  ,-5.06  ,-4.63  ,-6.88  ,-6.13  ,-5.40
200504  ,-2.46  ,-2.42  ,-2.02  ,-2.71  ,-3.03  ,-2.48
200505   ,3.10   ,2.40   ,2.00   ,2.65   ,3.05   ,4.84
200506   ,4.17   ,3.85   ,4.30   ,4.13   ,3.76   ,2.92
200507   ,6.40   ,7.49   ,5.29   ,8.03   ,7.00   ,5.14
200508  ,-1.61  ,-0.90  ,-0.49   ,0.14   ,2.24   ,0.39
200509   ,5.64   ,6.65   ,6.41   ,9.57   ,8.54   ,9.03
200510  ,-2.95  ,-3.72  ,-3.01  ,-5.74  ,-6.63  ,-5.50
200511   ,8.57   ,8.13   ,8.77   ,8.62   ,7.28   ,7.87
200512   ,6.15   ,5.18   ,5.57   ,7.36   ,5.86   ,6.07
200601   ,9.86   ,6.27   ,9.81  ,11.04  ,10.36   ,9.98
200602   ,2.83   ,1.78   ,1.93   ,0.21   ,0.94  ,-0.62
200603   ,0.87   ,2.98   ,3.11   ,0.18   ,1.13   ,1.61
200604   ,7.60   ,8.63   ,7.28   ,7.89   ,8.10   ,6.40
200605  ,-7.57  ,-8.50  ,-8.82  ,-9.82  ,-9.69 ,-10.84
200606  ,-5.36  ,-5.72  ,-5.11  ,-0.15  ,-0.35  ,-1.25
200607  ,-0.18   ,1.29   ,0.14   ,1.29   ,1.25   ,1.77
200608   ,2.63   ,3.82   ,3.43   ,1.33   ,3.47   ,3.36
200609   ,3.01   ,2.53   ,1.58   ,1.49   ,0.23   ,1.70
200610   ,5.88   ,6.09   ,4.64   ,3.97   ,4.15   ,5.80
200611   ,9.77   ,8.58   ,7.56   ,7.27   ,7.90   ,6.84
200612   ,4.86   ,5.37   ,3.00   ,4.64   ,4.53   ,4.81
200701   ,2.51   ,2.04   ,1.23  ,-1.47  ,-1.49  ,-0.11
200702   ,5.04   ,2.92   ,3.28   ,0.77  ,-0.68   ,0.01
200703   ,5.51   ,5.76   ,5.29   ,4.57   ,4.17   ,3.98
200704   ,6.77   ,6.23   ,7.03   ,5.09   ,4.13   ,5.95
200705   ,8.49   ,9.32   ,9.08   ,4.70   ,4.37   ,7.02
200706   ,5.15   ,4.76   ,4.44   ,4.68   ,5.10   ,4.07
200707   ,7.10   ,6.96   ,4.99   ,7.25   ,5.85   ,4.98
200708  ,-5.96  ,-6.28  ,-7.89  ,-0.59  ,-2.46  ,-4.64
200709   ,5.29   ,6.11   ,5.95   ,7.37   ,9.74  ,11.49
200710   ,3.57   ,3.25   ,3.56   ,9.38  ,10.63  ,10.44
200711  ,-5.51  ,-6.61  ,-8.14  ,-6.52  ,-6.53  ,-7.47
200712   ,1.38   ,2.99   ,1.88   ,1.54   ,1.74  ,-0.30
200801 ,-10.42 ,-11.19 ,-14.30  ,-9.06 ,-12.96 ,-12.76
200802   ,5.93   ,7.58   ,5.95   ,7.19   ,6.34   ,8.84
200803  ,-4.08  ,-4.54  ,-7.53  ,-4.23  ,-4.48  ,-5.22
200804   ,4.74   ,5.30   ,4.35   ,4.20   ,8.66   ,6.75
200805   ,0.77   ,0.57   ,1.03   ,2.38   ,2.58   ,1.06
200806  ,-7.91  ,-9.36  ,-8.35  ,-8.52  ,-8.97 ,-11.06
200807  ,-3.15  ,-3.09  ,-2.79  ,-3.58  ,-4.42  ,-4.65
200808  ,-8.11  ,-7.27 ,-10.18  ,-7.38  ,-8.09  ,-8.32
200809 ,-18.59 ,-19.80 ,-22.35 ,-17.17 ,-16.81 ,-20.38
200810 ,-25.57 ,-27.17 ,-31.01 ,-24.30 ,-27.05 ,-31.73
200811  ,-6.37  ,-8.49 ,-10.02  ,-4.06  ,-9.20  ,-9.68
200812   ,8.56   ,5.91   ,6.02   ,6.42   ,7.72   ,8.46
200901  ,-5.46  ,-4.47  ,-4.68  ,-6.89  ,-5.56  ,-8.20
200902  ,-3.48  ,-3.75  ,-4.77  ,-3.98  ,-5.78  ,-5.45
200903  ,11.74  ,10.45  ,11.39  ,11.67  ,15.20  ,15.06
200904  ,16.44  ,18.84  ,21.28  ,14.57  ,16.51  ,21.45
200905  ,16.75  ,19.08  ,18.89  ,15.86  ,18.65  ,19.82
200906  ,-0.79   ,0.13  ,-0.55  ,-1.86  ,-1.09  ,-1.86
200907   ,9.98  ,11.65  ,12.62  ,11.22  ,10.47  ,12.09
200908   ,2.33   ,3.10   ,3.13   ,0.11  ,-0.38  ,-0.25
200909   ,9.03   ,9.99   ,8.48   ,7.88   ,9.87   ,9.82
200910   ,1.59   ,0.95   ,0.20   ,0.56  ,-0.87  ,-0.06
200911   ,3.88   ,5.24   ,5.11   ,3.05   ,4.11   ,5.31
